culture,typeOfEntity,authorizedFormOfName,functions,sources,subjectAccessPoints,placeAccessPoints,places,history,digitalObjectURI
en,Person,Carlos Castro Arias,Spring 2020 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/carlos-castro-arias,IAIR Spring 2020,Tijuana,"Tijuana, Mexico","Carlos Castro Arias was born in Bogota, Colombia. His interdisciplinary work explores individual and collective identity and the body as a personal and social entity. Through the formal and symbolic re-contextualization of objects and images, Castro leads viewers to a critical understanding of the past and present by examining and resurfacing mute histories.
His solo exhibitions include The Pain We Create, LA Galeria, Bogota (2019); The Language of Dead Things, Espacio el Dorado, Bogota (2017), Stagnant Heritage, MUZAC, Monteria (2015), Old News of the Present, 21st Projects, New York (2014); and Accidental Beauty, Museo Santa Clara, Bogota (2013). Notable group exhibitions include Doble Filo, Coral Gables Museum, Miami (2019); Comfortably Numb, Another Space, New York (2018); Open Art Biennale, Sweden (2017); Liquid Sensibilities, Cisneros Foundation Grants and Commissions, USA (2016); Space To Dream, Auckland Art Gallery, New Zealand (2016); X Mercosur Biennale, Porto Alegre, Brazil (2015); and O que seria do mundo sem as coisas que não existem?, Frestas Trienal, Sorocaba, Brazil (2014), amongst others.
Castro earned a B.F.A. at Universidad Jorge Tadeo Lozano (2002) and an M.F.A. from the San Francisco Art Institute (2010). His musical projects include POPO (2000) and Los Claudios de Colombia (2005–Present). Castro lives and works between San Diego, Tijuana, and Bogota.",https://artpace.org/wp-content/uploads/IAIR_AriasHeadshotcredit-Nicolás-Cadena-Arciniegas-_10.31.2019_EMurphy-e1586877203328-470x470.jpg
en,Person,Milagros de la Torre,Spring 2020 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/milagros-de-la-torre,IAIR Spring 2020,New York,"New York, NY, USA","Milagros de la Torre is a New York based artist working with the photographic medium since 1991. She studied Communications Sciences at the University of Lima and received a B.A. (Hons) in Photographic Arts from the London College of Communication. Her first solo exhibition (1993), curated by Robert Delpire, was presented at the Palais de Tokyo, Paris. In 1995, she was an artist in residence at the Cité des Arts and worked as a curatorial assistant in the Photography Department at the Musée Carnavalet, Paris.
She received the Rockefeller Foundation Artist Grant and was awarded the Romeo Martinez Photography Prize and the Young Ibero-American Creators Prize for her series The Lost Steps (1998). De la Torre participated in ‘Contemporary Artistic Practices’, a residency at The Getty Research Institute, Los Angeles. She was awarded the Guggenheim Fellowship (2011), The Dora Maar Fellowship, The Brown Foundation (2014), The Peter S. Reed Foundation Award in Photography (2016) and was the recipient of a ‘Merited Person of Culture Award’ from the Ministry of Culture in Peru (2016).
In 2003, her artist book Trouble de la Vue was published by Toluca Editions, Paris. The Americas Society, N.Y. presented Observed, a solo show curated by Prof. Edward J. Sullivan. The Museo de Arte de Lima (MALI) honored her with a mid-career retrospective exhibition (2012) curated by Prof. Sullivan.
She has been a resident artist at the ICP-Bard MFA program and has given artist lectures at The Getty Research Institute; Columbia University; The International Center of Photography; The Institute of Fine Arts, New York University; Parsons, The New School; The School of Visual Arts; Hunter College; The Americas Society; University of London, El Museo del Barrio; Penumbra Foundation; Syracuse University; Phoenix Art Museum; Museo de Arte Moderno, Mexico; Center for Contemporary Studies, University of Barcelona; Museo de Arte de Lima, MALI, Peru.
Her work has been exhibited broadly and is part of permanent museum collections including: The Art Institute of Chicago;  Museum of Fine Arts, Houston; Blanton Museum of Art, Austin; El Museo del Barrio, New York; Harvard Art Museums, Cambridge; Yale University, New Haven; MIT List Visual Arts Center, Boston; The Rhode Island School of Design Museum, Providence; Diane and Bruce Halle Collection, Phoenix; Worcester Art Museum, Massachusetts; Fonds National d’Art Contemporain, Paris; Museo Nacional Centro de Arte Reina Sofia, Madrid; Essex Collection of Art from Latin America, U.K.; Universidad de Salamanca, Spain; Museo de Arte Carrillo Gil, Mexico; Museo de Arte de Lima, Peru; Museo Nacional de Bellas Artes, Buenos Aires.
De la Torre’s work has been reviewed by Art in America, The New Yorker, ARTFORUM, Frieze Magazine, Wall St. Journal, The New York Times, The Guardian, TIME Magazine, Public Radio International, Broadly, Beaux Arts Magazine, Jeu de Paume Magazine, EXIT Magazine, ArtNexus, Arte al Día, and Atlantica Journal.",https://artpace.org/wp-content/uploads/MdlT-e1586877302757-470x470.jpg
en,Person,Daniel Ramos,Spring 2020 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/daniel-ramos,IAIR Spring 2020,Sandy Oaks,"Sandy Oaks, TX, USA","Daniel Ramos exhibited The Land of Illustrious Men at Filter Space, Chicago in 2019. The series was featured in The New York Times Lens column and PDN Edu Magazine. Ramos won the 2018 Dorothea Lange-Paul Taylor Prize and completed the 2018 Artist Residency Program at The Center of Photography in Woodstock, New York. He was awarded second place in Cuartoscuro’s national competition in Mexico. His work has been exhibited at Houston Center for Photography, CPW’s Photography Now, AI-AP Latin American Fotografia 7, and the Lenscratch DeveloperXFor Freedoms Gallery.
Ramos graduated from Columbia College Chicago with a B.F.A. in Photography in 2003 and studied for an M.F.A. at California College of the Arts in 2007.",https://artpace.org/wp-content/uploads/20.1IAIR_RamosHeadshot_07.05.19_EMurphy-470x470.jpg
en,Person,Monica Espinel,"Spring 2020 International Artist-in-Residence Program Guest Curator
",https://www.artpace.org/artists_and_curators/monica-espinel,IAIR Spring 2020,,,"Monica Espinel is an independent curator and writer specialized in Modern and Contemporary Art from Latin America.  She has experience working internationally in museums, galleries, alternative art spaces, biennials, auction houses, art fairs, and philanthropy.  Curatorial projects include: ‘‘Black Milk: Theories on Suicide’’ (Marvelli Gallery, New York, 2004), ‘‘Carmen Herrera – Estructuras’’ (Latincollector, New York, 2008), ‘‘Memory Leaks’’ (Creon, New York, 2010), “Photographic Treasures from the Collection of Alfred Stieglitz” (curatorial assistant, Metropolitan Museum of Art, 2011), “Rituals of Chaos” (Bronx Museum of the Arts, 2012), “The Skin I Live In” (SP-Arte, 2013), “Bruno Miguel: Todos à Mesa” (Galeria Emma Thomas, São Paulo, 2015) and “Hybrid Topographies – Encounters from Latin America” (Deutsche Bank, New York, 2018).
Espinel was a Mentor for the Associate Artists program of the Liverpool Biennial (2016-18) and is the recipient of numerous awards including ArtTable’s Diversity Grant to be a curatorial fellow at Wave Hill (2009), a Milton & Sally Avery Arts Foundation Curatorial Fellowship at the Bronx Museum of the Arts (2010), and a Roswell L. Gilpatric Award to work in the department of Photographs at The Metropolitan Museum of Art (2011).  Her writing has been featured in ArtNexus, Arte al Dia, Flash Art and Artforum.com.
Espinel is a Ph.D. candidate in the History of Art at The Graduate Center, City University of New York. She holds a BS in psychology from Florida International University and an MA in Art History from Hunter College.",https://artpace.org/wp-content/uploads/Espinel-Monica-470x560.jpg
en,Person,Emre Hüner,Fall 2019 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/emre-huner,IAIR Fall 2019,Istanbul,"Istanbul, Turkey","Emre Hüner works with drawing, video, sculpture, and installations, and his practice focuses on constructed narratives and eclectic assemblages that explore the subjects of utopia, archeology, ideas of progress and future through re-imagination of the spatial and architectural entities, organic, and artificial forms.
Solo exhibitions include Neochronophobiq at both Protocinema in New York and STUK in Leuven, Belgium; Hypabyssal, Marso Gallery, Mexico City; and Aeolian, RODEO, Istanbul, Turkey. His group exhibitions include Planet 9, Kunsthalle Darmstadt, Germany, 14th Istanbul Biennial – Saltwater: A Theory of Tought Forms, Istanbul, Turkey; and Manifesta 9, Genk, Belgium.
Hüner attended Brera Academy of Fine Arts in Milan. He has been an Artist-in-Residence at Frans Masereel Centrum, Kasterlee, 2017; ISCP, New York, 2014; Princeton University, 2010; the Rijksakademie van Beeldende Kunsten, Amsterdam, 2010; Apexart Inbound Residency Program, New York, 2009; and at Platform Garanti Contemporary Art Center, Istanbul, 2009.
Photo credit: Javier Sirvent",https://artpace.org/wp-content/uploads/Emre-Hüner-portrait-photo-Javier-Sirvent-470x454.jpg
en,Person,Cauleen Smith,Fall 2019 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/cauleen-smith,IAIR Fall 2019,Los Angeles,"Los Angeles, California, USA","Cauleen Smith is an interdisciplinary artist whose work reflects upon the everyday possibilities of the imagination. Operating in multiple materials and arenas, Smith roots her work firmly within the discourse of mid-twentieth-century experimental film. Drawing from structuralism, Third World Cinema, and science fiction, she makes things that deploy the tactics of activism in service of ecstatic social space and contemplation. Smith enjoys container gardening, likes cats and collects disco balls, vinyl records, and books. She is an avid leisure and functional cyclist. She lives in Los Angeles and is Art Program faculty at California Institute of the Arts. She received a BA in Creative Arts from San Francisco State University and her MFA from the University of California, Los Angeles School of Theater Film and Television. Smith’s short films, feature film, and installation and performance were showcased at International Film Festival Rotterdam 2019. Smith is the recipient of the following awards: Rockefeller Media Arts Award, Creative Capital Film/Video, Independent Spirit Someone to Watch Award, Chicago 3Arts Grant, and the Foundation for Contemporary Arts, Chicago Expo Artadia Award, a Rauschenberg Residency, Herb Alpert Awards in the Arts in Film and Video 2016, United States Artists Award 2017, and was the 2016 inaugural recipient of the Ellsworth Kelly Award.
Photo credit: Dustin Aksland",https://artpace.org/wp-content/uploads/SMITH_Headshot_PhotoCreditDustinAksland_02.19.2019_Ccastillo.jpg
en,Person,Jessica Halonen,"Fall 2019 International Artist-in-Residence (Texas)
Fall 2016 Hudson Showroom Exhibitor
Summer 2004 Window Works Exhibitor",https://www.artpace.org/artists_and_curators/jessica-halonen,IAIR Fall 2019|HSR Fall 2016|WW Summer 2004,Austin,"Austin, Texas, USA","Jessica Halonen creates sculpture and paintings that explore intersections between art, science, and history. She has engaged with topics such as genetic engineering in the pharmaceutical industry and the historical and metaphorical implications of the color blue. Her research-based work has been widely exhibited and was recently reviewed in Artforum.
Halonen received a MFA in Painting from Washington University in Saint Louis and has been an Artist-in-Residence at the MacDowell Colony, New Hampshire; Kunstlerhaus Bethanian, Berlin; and Core Program, Glassell School of Art, Museum of Fine Arts Houston. Her work has been included in numerous exhibitions, notably at The Contemporary Austin, the Dallas Contemporary, the McNay Art Museum, the Tang Teaching Museum at Skidmore College, the Museum of Fine Arts, Houston, and the Torrance Art Museum, Los Angeles. Her work is in the permanent collections of the Art Museum of South Texas, Fort Wayne Museum of Art, and the Museum of Fine Arts, Houston. Halonen was born and raised in Milford, Michigan and currently lives and works in Austin and San Antonio. Halonen is an associate professor of art in the Department of Art and Art History at Trinity University in San Antonio.
Photo credit: Lauren Grant",https://artpace.org/wp-content/uploads/Head-shot-1.jpg
en,Person,Kelly Baum,"Fall 2019 International Artist-in-Residence Program Guest Curator
Cynthia Hazen Polsky and Leon Polsky Curator of Contemporary Art at the Metropolitan Museum of Art",https://www.artpace.org/artists_and_curators/kelly-baum,IAIR Fall 2019,,,"Kelly Baum is the Cynthia Hazen Polsky and Leon Polsky Curator of Contemporary Art at the Metropolitan Museum of Art. She has held curatorial positions at the Princeton University Art Museum (2007–2015), the Blanton Museum of Art (2002–2007), and the Museum of Fine Arts, Houston (2000–2002). Kelly has curated or co-curated over twenty-five exhibitions, including Carol Bove (2006); Nobody’s Property: Art, Land, Space (2010); New Jersey as Non-Site (2013), for which she received a Warhol Curatorial Research Fellowship; The Body Politic: Video from The Met Collection (2017); Delirious: Art at the Limits of Reason, 1950–1980 (2017), and most recentlyOdyssey: Jack Whitten Sculpture, 1963-2017. Her writing has been widely published in books and catalogues as well as in such journals as October and Art Journal. In 2018, she was a fellow in the Center for Curatorial Leadership.",https://artpace.org/wp-content/uploads/Baum-photo-e1574891167901-470x627.jpg
en,Person,Juana Córdova,Summer 2019 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/juana-cordova,IAIR Summer 2019,Cuenca,"Cuenca, Ecuador","Juana Córdova was born in Cuenca, Ecuador in 1973, where she studied and obtained her bachelor’s degree in Visual Arts. She was elected as Ecuador’s representative at the VIII Cuenca Biennial (2004). In her country she has had several individual exhibitions such as Las Manos en la Masa (2006) at Quito, Guayaquil and Cuenca by El Comercio Foundation. One of her most recent exhibitions A la Orilla (2016), shown at the Municipal Museum of Modern Art of Cuenca, exhibited a panoramic view of her work.
She has participated in collective events since 1998 and her work has been shown in Germany, Brazil, South Korea, Ecuador, Spain and the United States in exhibitions such as Intimacy is Politics: Sex, Gender, Language, Power, Metropolitan Cultural Center, Quito (2017); PANGAEA Artistic fellowship, Galerie der Künstler, Munich(2012); and Curare Quito, Quito City Museum (2007).
During her twenty-year career, the places she has lived have influenced the topics she approaches. From the city or the countryside, her work explores the role of the individual in contemporary society and its relationship with nature. Her installations and objects express concern for the environment.
She has obtained prizes and distinctions in her country including Special Mention, Paris Prize, of the French Alliance (2000);National Salon of the Cuenca Biennial(2003); El Comercio Foundation and Mariano Aguilera Prize (2004 and 2005). She has participated in both national and international artist-in-residence programs.",https://artpace.org/wp-content/uploads/JuanaHeadshot_Web.jpeg
en,Person,Narcissister,Summer 2019 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/narcissister,IAIR Summer 2019,New York,"New York, NY","Narcissister is a Brooklyn-based artist and performer. Masked and merkin-ed, she works at the intersection of dance, art, and activism in a range of media including film, video art, and experimental music. She has presented work worldwide at festivals, nightclubs, museums, and galleries. She won “Best Use of a Sex Toy” at The Good Vibrations Erotic Film Festival, a Bessie Award nomination for the theatrical performance of Organ Player, Creative Capital and United States Artists Awards. Interested in troubling the popular entertainment and experimental art divide, she appeared on America’s Got Talent. Her first feature film Narcissister: Organ Player premiered at Sundance and SXSW Film Festivals 2018 and she recently completed the Sundance Theatre Lab for the creation of a new theatrical work with playwright Branden Jacobs Jenkins.
Photo courtesy of the artist",https://artpace.org/wp-content/uploads/NarcissisterHeadshot_Web.jpg
en,Person,Francis Almendárez,Summer 2019 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/francis-almendarez,IAIR Summer 2019,Houston,"Houston, TX","Francis Almendárez is an interdisciplinary artist who traverses the intersections of history, ethnography and the arts, using them as tools to address memory and trauma, specifically of migrant and queer bodies of Central American and Caribbean diasporas, in attempt to make sense of and re-construct identity. Being the product of a family of intergenerational migrants and having to frequently re-locate due to financial instability, he attempts to transform spatiotemporal dislocation and intersectionality into agency, resistance and autonomy by vocalizing and embodying the experiences of the marginalized, disenfranchised, or liminal Other. His work, ranging from video installation to performance and text, incorporates music and storytelling, and brings to the foreground time, labor and rhythm. Combining personal narratives with those of his grandmother, Almendárez uses the biographical to collapse and juxtapose past, present and future, subtly touching upon underlying, overlapping and recurring themes from postcolonialism to migrant labor to gender roles and motherhood. Working from the vantage point of both insider and outsider, he observes, he listens, and he collects. Then, he transforms the material from the personal to the political – and finally – to the poetic, in the effort to re-present and re-historicize alterity, and provide an alternative to the dominant Western narrative.
Almendárez has participated in national and international exhibitions and screenings including Nuestro Hogar: Francis Almendárez and Ana Fernandez, Jonathan Hopson Gallery, Houston, TX (2019); The Potential Wanderer, The Reading Room, Dallas, TX (2019); Voices of Our Mothers: Transcending Time and Distance, Houston Center for Photography, Houston, TX (2018); Sisyphus, Ver.20.18, National Taiwan Museum of Fine Arts, Taichung, Taiwan (2018); Family Reunion, Pi Artworks, London, UK (2017); Videosubbota-2, CCI Fabrika, Moscow, Russia (2017); and Le Paradis, un peu plus loin, GALERIE DIX9, Paris, France (2017). Almendárez is the recipient of a Houston Artadia Award (2018), the Carol Crow Memorial Fellowship from the Houston Center for Photography (2018), and a participant of the ICA Moscow Summer School (2015). Almendárez received an MFA in Fine Art (with Distinction) from Goldsmiths, University of London (2016) and a BFA in Sculpture/New Genres from Otis College of Art and Design (2013). He was born and raised in Los Angeles, CA and is currently living and working in Houston, TX.",https://artpace.org/wp-content/uploads/FrancisHeadshot_Web.jpg
en,Person,Karina Aguilera Skvirsky,"Summer 2019 International Artist-in-Residence Program Guest Curator
",https://www.artpace.org/artists_and_curators/karina-aguilera-skvirksy,IAIR Summer 2019,,,"Karina Aguilera Skvirsky is a multi-disciplinary artist who works in photography, video and performance. Her work has been exhibited internationally in group and solo exhibitions. In 2015 she was awarded a Fulbright grant and a Jerome Foundation Grant to produce “The Perilous Journey of María Palacios,” a performance-based film that premiered in the 2016 Cuenca Biennale curated by Dan Cameron. In 2010 she participated in There is always a cup of sea for man to sail, the 29th São Paulo Biennial (2010), where she exhibited work from her project, Memories of Development.
Artist in Residence programs she has participated in include: Office Hours, at El museo del barrio, NY, NY; LMCC Workspace, NY, NY; MacDowell Residency, NH; Smackmellon, Brooklyn, NY and others.
Skvirsky is an Associate Professor of Art at Lafayette College, Easton, PA and an MFA faculty member at The New School, Parsons School of Design, NY, NY. She is represented by Ponce + Robles Gallery in Spain.",https://artpace.org/wp-content/uploads/SkvirskyHeadshot_Web.jpg
en,Person,Roshini Kempadoo,Spring 2019 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/roshini-kempadoo,IAIR Spring 2019,London,"London, UK","Roshini Kempadoo is a media artist, photographer and scholar. Her research, multimedia and photographic projects combine factual and fictional re-imaginings of contemporary experiences, histories and memories.
Roshini has been active in documenting Caribbean communities, events, rights issues, and individuals in the UK and the Caribbean. She was instrumental in setting up Autograph, the Association of Black Photographers in the late 1980s, and worked as a documentary photographer for Format Picture Agency (1983 – 2003).
Her photography and artworks are created using montage, layering, narration and interactive techniques of production. Her recent work as includes photographs and screen-based interactive art installations that fictionalize Caribbean archive material, objects, and spaces.
She is represented by Autograph ABP, London.
Photo courtesy of the artist",https://artpace.org/wp-content/uploads/Rkportraitsquare.jpg
